Date,Open,High,Low,Close,Adj Close,Volume
2022-10-19,343.100006,347.450012,339.799988,346.350006,346.350006,16296080
2022-10-20,347.000000,350.950012,344.799988,349.700012,349.700012,18474706
2022-10-21,353.200012,353.200012,344.500000,345.600006,345.600006,27372160
2022-10-24,348.950012,349.700012,347.000000,347.700012,347.700012,3170564
2022-10-25,349.450012,349.500000,343.649994,346.299988,346.299988,17242211
2022-10-27,346.649994,348.350006,343.850006,345.799988,345.799988,18558597
2022-10-28,347.549988,348.600006,345.100006,345.799988,345.799988,13069167
2022-10-31,348.000000,350.500000,344.750000,348.700012,348.700012,13825970
2022-11-01,349.250000,350.500000,347.200012,349.500000,349.500000,19665200
2022-11-02,348.500000,356.250000,348.500000,354.649994,354.649994,16781507
2022-11-03,354.000000,358.500000,353.000000,353.700012,353.700012,10736155
2022-11-04,354.000000,356.000000,352.500000,353.600006,353.600006,8386849
2022-11-07,355.000000,356.350006,350.000000,353.500000,353.500000,10050303
2022-11-09,353.500000,361.450012,353.200012,360.700012,360.700012,20611075
2022-11-10,359.000000,359.899994,354.100006,356.000000,356.000000,19327625
2022-11-11,360.000000,360.950012,354.649994,356.350006,356.350006,10950902
2022-11-14,356.350006,356.950012,346.600006,347.200012,347.200012,17639889
2022-11-15,348.950012,348.950012,339.149994,345.250000,345.250000,15451411
2022-11-16,345.700012,346.850006,341.649994,344.100006,344.100006,7604924
2022-11-17,344.100006,347.450012,342.600006,343.700012,343.700012,9994270
2022-11-18,343.700012,344.750000,339.799988,341.049988,341.049988,7838297
2022-11-21,339.100006,340.000000,334.399994,337.200012,337.200012,9198816
2022-11-22,337.000000,341.000000,335.700012,340.250000,340.250000,6495845
2022-11-23,342.000000,342.000000,337.500000,339.799988,339.799988,7768291
2022-11-24,339.799988,340.899994,338.950012,339.250000,339.250000,4291747
